top - 15:05:08 up 119 days,  4:17,  1 user,  load average: 1,63, 1,61, 1,
Tasks: 1134 total,   1 running, 1133 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7,4 us,  5,1 sy,  0,0 ni, 85,3 id,  1,5 wa,  0,0 hi,  0,7 si,  
МиБ Mem :  31926,7 total,    590,5 free,  24176,4 used,   7159,8 buff/cac
МиБ Swap:   2048,0 total,      0,0 free,   2048,0 used.   5955,2 avail Me

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+
   8962 user      20   0  388196   3976   1380 S  23,5   0,0   9967:13
1214886 user      20   0   11912   5464   3632 R  23,5   0,0   0:00.04
    970 root      20   0  280560  48376  19464 S  11,8   0,1 895:27.34
 837777 user      20   0 9730164   3,7g  68096 S   5,9  11,8  56:09.63
3763989 user      20   0 3594980  39652   2796 S   5,9   0,1  10:16.43
      1 root      20   0  170320  11580   4720 S   0,0   0,0   1491:24
      2 root      20   0       0      0      0 S   0,0   0,0   0:06.37
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
     11 root      20   0       0      0      0 I   0,0   0,0   0:00.00
     12 root      20   0       0      0      0 I   0,0   0,0   0:00.00
     13 root      20   0       0      0      0 I   0,0   0,0   0:00.00
     14 root      20   0       0      0      0 S   0,0   0,0  58:34.99
     15 root      20   0       0      0      0 I   0,0   0,0 210:32.76
     16 root      rt   0       0      0      0 S   0,0   0,0   0:32.74
     17 root     -51   0       0      0      0 S   0,0   0,0   0:00.00
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00
     21 root     -51   0       0      0      0 S   0,0   0,0   0:00.00
     22 root      rt   0       0      0      0 S   0,0   0,0   0:32.03
     23 root      20   0       0      0      0 S   0,0   0,0 183:00.30
     25 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
     26 root      20   0       0      0      0 S   0,0   0,0   0:00.00
     27 root     -51   0       0      0      0 S   0,0   0,0   0:00.00
     28 root      rt   0       0      0      0 S   0,0   0,0   0:31.59
     29 root      20   0       0      0      0 S   0,0   0,0  61:28.40
     31 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
     32 root      20   0       0      0      0 S   0,0   0,0   0:00.00
     33 root     -51   0       0      0      0 S   0,0   0,0   0:00.00
     34 root      rt   0       0      0      0 S   0,0   0,0   0:32.12
     35 root      20   0       0      0      0 S   0,0   0,0  60:59.28
     37 root       0 -20       0      0      0 I   0,0   0,0   0:00.00
